State,B.O.D. (mg/l) : Mean : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Mean,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Mean,TEMPERATURE ºC : Mean,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,pH : Mean : 6.5-8.5,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,TEMPERATURE ºC : Mean_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp,Agricultural Output
assam,1.322580645,620.4193548,236.6451613,2.919354839,24.25806452,3947.258065,6.509677419,1.322580645,620.4193548,236.6451613,24.25806452,3947.258065,2.615414529
bihar,2.738509596,926.0221772,235.790368,0,24.56097561,825.8710951,7.47804878,2.623893805,922.8366446,243.9635832,24.56097561,899.5155023,4.479980638
chattissgarh,1.422900073,894.0675438,942.2573183,0.49,27.06665446,415.8435385,7.31,1.404778761,893.6657837,1088.834101,27.06724374,419.1237288,1.692436477
daman_diu_dadra_nagar_haveli,4.345917348,1896.666667,569.46428,3.058333333,31.35,1539.934531,6.925,4.134587021,1896.666667,637.0698925,31.35,1697.59887,1.765624013
goa,0.977777778,815.1111111,271.8137149,0.744444444,30.66666667,1086.510065,6.611111111,0.977777778,815.1111111,279.4075781,30.66666667,991.6082863,2.440941959
maharashtra,4.467741935,976.0645161,417.8326453,11.33870968,26.19354839,1528.960021,7.696774194,4.467741935,976.0645161,437.2261038,26.19354839,1676.414434,5.274545552
odisha,0.893333333,505,10023.15751,3.4,28.2,15497.81885,7.333333333,0.893333333,505,10057.38925,28.2,15761.2791,2.300977879
punjab,2.75870984,1273.736842,1062.550741,3.705263158,25.87894471,3927.107529,7.084210526,2.623893805,1273.736842,1088.834101,25.87243736,4048.237288,4.827253807
tripura,2.688454139,184,1009.211928,0.242857143,27.44285714,3483.821965,7.671428571,2.623893805,184,1088.834101,27.44285714,4048.237288,2.879009389
uttar_pradesh_uttarakhand,1.931237753,1256.058824,933.8347538,1.702941176,23.84411765,3263.029744,7.344117647,1.917126497,1256.058824,965.8830306,23.84411765,3582.856431,8.258371495
west_bengal,0.910638298,993.6382979,666.0620592,0.585106383,29.39787234,2388.657717,7.45106383,0.910638298,993.6382979,715.0891264,29.39787234,2582.508114,5.408574542
